Id_BoletaApp;LLAVEV;CODIGO_PCD;ID_AE;ID_UGM;ID_VIVIENDA;PCDUGM;RESUL_ENTREVISTA_VIV;V01_TIPO_VIVIENDA;V02_OCUPACION_VIVIENDA;H01A_TOTAL_RESIDENTES_HAB;H01B_TOTAL_HOMBRES_RESIDENTES_HAB;H01C_TOTAL_MUJERES_RESIDENTES_HAB
62a0a392e7e0486a45a01ee3;11203017003A01;11203;017;003;A01;11203003;1;1;1;1;0;1
62a0ad4d2aa6e843ab7d57a8;11905020179A07;11905;020;179;A07;11905179;1;1;1;1;0;1
62a0afd22aa6e8130f7d57b8;11905020179A05;11905;020;179;A05;11905179;1;1;1;1;0;1
62a0b1b4e7e0481572a01f17;11911006044001;11911;006;044;001;11911044;1;1;1;1;0;1
62a0b3cd740a98934a88b074;10901023067001;10901;023;067;001;10901067;1;1;1;1;0;1
62a0b640319b3b58ff9cd188;11205008025001;11205;008;025;001;11205025;1;1;1;1;1;0
62a0b7cb94a65388deeae024;11203008020003;11203;008;020;003;11203020;1;1;1;1;0;1
62a0b953319b3b33759cd1b4;30205004056001;30205;004;056;001;30205056;1;1;1;1;1;0
62a0bab9a0f47eaaea0ed028;10901023067A02;10901;023;067;A02;10901067;1;1;1;1;0;1
62a0bb499db5104fbe0f57ca;41003029158001;41003;029;158;001;41003158;1;14;1;1;1;0
62a0bc71a6b10c5b2eebdcfc;11205008025A08;11205;008;025;A08;11205025;1;1;1;1;0;1
62a0bcd0151a08d9cf7843eb;10901023067003;10901;023;067;003;10901067;1;1;1;1;1;0
62a0bfa7a0f47e195e0ed07f;11905018181A09;11905;018;181;A09;11905181;1;1;1;1;0;1
62a0bfe3e7e0482fb1a01ff0;11205008025A09;11205;008;025;A09;11205025;1;1;1;1;0;1
62a0c077319b3b37589cd22d;41003028166A14;41003;028;166;A14;41003166;1;14;1;1;1;0
62a0c28294a6530926eae0e7;20113010052A06;20113;010;052;A06;20113052;1;2;1;1;1;0
62a0c42abdf3082e8d2f7550;21304012020003;21304;012;020;003;21304020;1;1;1;1;1;0
62a0c472a6b10cf27aebdd9e;10901023067A03;10901;023;067;A03;10901067;1;1;1;1;0;1
62a0c47694a653facfeae115;41003028166A01;41003;028;166;A01;41003166;3;14;1;1;0;1
62a0c70c2aa6e84d6a7d5931;11205008025A13;11205;008;025;A13;11205025;1;1;1;1;1;0
62a0c94a94a6531bc1eae18f;41003030147001;41003;030;147;001;41003147;3;14;1;1;0;1
62a0cabda0f47e13e60ed170;10302061137009;10302;061;137;009;10302137;3;14;1;1;0;1
62a0cae0319b3b221e9cd313;11205008025007;11205;008;025;007;11205025;1;1;1;1;1;0
62a0d2c42aa6e8f7b97d5a64;60106007050001;60106;007;050;001;60106050;1;1;1;1;1;0
62a0d435bdf3080a662f76f5;20605004021001;20605;004;021;001;20605021;1;1;1;1;0;1
62a0d5c69db51023d90f5a38;60106007050A02;60106;007;050;A02;60106050;1;1;1;1;0;1
62a0d7dc151a080dab78469f;10603001027A01;10603;001;027;A01;10603027;1;1;1;1;1;0
62a0d867e7e048031ba0228a;10603001027002;10603;001;027;002;10603027;1;1;1;1;1;0
62a0d868319b3b33c99cd494;50501001109A02;50501;001;109;A02;50501109;1;1;1;1;0;1
62a0d91294a6530fe7eae34c;21011015068A04;21011;015;068;A04;21011068;3;14;1;1;1;0
62a0d9462aa6e86bab7d5b4e;11205008025A07;11205;008;025;A07;11205025;1;1;1;1;0;1
62a0da06151a0808c67846e9;50701021017001;50701;021;017;001;50701017;1;14;1;1;1;0
62a0daff740a9884f288b42f;20202002009A01;20202;002;009;A01;20202009;1;1;1;1;0;1
62a0db76740a98068588b43e;11205008025A10;11205;008;025;A10;11205025;1;1;1;1;0;1
62a0dc93319b3b0a4b9cd520;20804016021002;20804;016;021;002;20804021;1;1;1;1;1;0
